ID,Title,Client / Subtitle,Category,Role,Description,Software Stack (Tools),Disciplines (Tags),Award Info,Media Type
"proj-1","A&H Capital","A&H Capital","Brand Film","Motion Graphic Artist & Art Direction","","After Effects, Blender, Premiere Pro, Photoshop","Brand Identity, 3D Motion","","Video / Motion"
"proj-2","Haar-Raah","ACCA India","Motion & Reels","Motion Graphic Artist & Art Direction","Silver Winner at the afaqs! Marketers’ Excellence Awards 2025 for Best Campaign in Education. Crafted motion graphics for ACCA India's empowering educational campaign (Agency: Oktobuzz).","After Effects, Blender, Premiere Pro, Photoshop","Motion Design, Education Campaign, Silver Winner","SILVER WINNER - afaqs! Marketers’ Excellence Awards 2025 (Best Campaign in Education)","Video / Motion"
"proj-77","OIAI – Main Campaign Master Film","OIAI","Product & CGI","Senior Visualizer & 3D Lead","Master commercial 3D campaign film for OIAI.","Blender, After Effects, Substance Painter","OIAI Campaign, 3D Generalist, Cinematic Master","","Video / Motion"
"proj-6","Amish-Vertical Reel","Sprint","Motion & Reels","Motion Graphic Artist & Art Direction","","After Effects, Blender, Premiere Pro, Photoshop","Motion Graphics, Fashion Editorial, Reel","","Video / Motion"
"proj-7","SPRINT","Sprint","Motion & Reels","Motion Graphic Artist & Art Direction","","After Effects, Blender, Premiere Pro, Photoshop","Motion Graphics, Fashion Editorial, Reel","","Video / Motion"
"proj-8","AllThingsPrettyLace","Sprint","Motion & Reels","Motion Graphic Artist & Art Direction","","After Effects, Blender, Premiere Pro, Photoshop","Motion Graphics, Fashion Editorial, Reel","","Video / Motion"
"proj-9","BohoState","Sprint","Motion & Reels","Motion Graphic Artist & Art Direction","","After Effects, Blender, Premiere Pro, Photoshop","Motion Graphics, Fashion Editorial, Reel","","Video / Motion"
"proj-10","CampusCore","Sprint","Motion & Reels","Motion Graphic Artist & Art Direction","","After Effects, Blender, Premiere Pro, Photoshop","Motion Graphics, Fashion Editorial, Reel","","Video / Motion"
"proj-11","CotonStory","Sprint","Motion & Reels","Motion Graphic Artist & Art Direction","","After Effects, Blender, Premiere Pro, Photoshop","Motion Graphics, Fashion Editorial, Reel","","Video / Motion"
"proj-12","DetenetionClub","Sprint","Motion & Reels","Motion Graphic Artist & Art Direction","","After Effects, Blender, Premiere Pro, Photoshop","Motion Graphics, Fashion Editorial, Reel","","Video / Motion"
"proj-13","EveryStyle","Sprint","Motion & Reels","Motion Graphic Artist & Art Direction","","After Effects, Blender, Premiere Pro, Photoshop","Motion Graphics, Fashion Editorial, Reel","","Video / Motion"
"proj-14","FitCheckTailored","Sprint","Motion & Reels","Motion Graphic Artist & Art Direction","","After Effects, Blender, Premiere Pro, Photoshop","Motion Graphics, Fashion Editorial, Reel","","Video / Motion"
"proj-15","FlatFabulous","Sprint","Motion & Reels","Motion Graphic Artist & Art Direction","","After Effects, Blender, Premiere Pro, Photoshop","Motion Graphics, Fashion Editorial, Reel","","Video / Motion"
"proj-16","GameSetFlex","Sprint","Motion & Reels","Motion Graphic Artist & Art Direction","","After Effects, Blender, Premiere Pro, Photoshop","Motion Graphics, Fashion Editorial, Reel","","Video / Motion"
"proj-17","HighStreetNeutral","Sprint","Motion & Reels","Motion Graphic Artist & Art Direction","","After Effects, Blender, Premiere Pro, Photoshop","Motion Graphics, Fashion Editorial, Reel","","Video / Motion"
"proj-18","IconicDad","Sprint","Motion & Reels","Motion Graphic Artist & Art Direction","","After Effects, Blender, Premiere Pro, Photoshop","Motion Graphics, Fashion Editorial, Reel","","Video / Motion"
"proj-19","IconicDadMain","Sprint","Motion & Reels","Motion Graphic Artist & Art Direction","","After Effects, Blender, Premiere Pro, Photoshop","Motion Graphics, Fashion Editorial, Reel","","Video / Motion"
"proj-20","InnerWears","Sprint","Motion & Reels","Motion Graphic Artist & Art Direction","","After Effects, Blender, Premiere Pro, Photoshop","Motion Graphics, Fashion Editorial, Reel","","Video / Motion"
"proj-21","RafiaEdit","Sprint","Motion & Reels","Motion Graphic Artist & Art Direction","","After Effects, Blender, Premiere Pro, Photoshop","Motion Graphics, Fashion Editorial, Reel","","Video / Motion"
"proj-22","Winblendon Edit","Sprint","Motion & Reels","Motion Graphic Artist & Art Direction","","After Effects, Blender, Premiere Pro, Photoshop","Motion Graphics, Fashion Editorial, Reel","","Video / Motion"
"proj-23","YogaRItual","Sprint","Motion & Reels","Motion Graphic Artist & Art Direction","","After Effects, Blender, Premiere Pro, Photoshop","Motion Graphics, Fashion Editorial, Reel","","Video / Motion"
"proj-24","FINAL GROWTH","Vithobha","Product & CGI","Senior Visualizer & 3D Lead","","Blender, After Effects, Substance Painter","Product Render, 3D Lookdev, Commercial","","Video / Motion"
"proj-25","VITHO CG","Vithobha","Product & CGI","Senior Visualizer & 3D Lead","","Blender, After Effects, Substance Painter","Product Render, 3D Lookdev, Commercial","","Video / Motion"
"proj-26","BUSY ME","Westside","CGI & 3D Ads","Senior Visualizer & 3D Lead","","Blender, After Effects, Substance Painter","3D CGI, Commercial","","Video / Motion"
"proj-27","BusyMe Vending Machine","Westside","CGI & 3D Ads","Senior Visualizer & 3D Lead","","Blender, After Effects, Substance Painter","3D CGI, Commercial","","Video / Motion"
"proj-28","Chelsea CGI","Westside","CGI & 3D Ads","Senior Visualizer & 3D Lead","","Blender, After Effects, Substance Painter","3D CGI, Commercial","","Video / Motion"
"proj-29","Christmas-2025","Westside","CGI & 3D Ads","Senior Visualizer & 3D Lead","","Blender, After Effects, Substance Painter","3D CGI, Commercial","","Video / Motion"
"proj-30","Christmas-2026","Westside","CGI & 3D Ads","Senior Visualizer & 3D Lead","","Blender, After Effects, Substance Painter","3D CGI, Commercial","","Video / Motion"
"proj-31","Denim CGI","Westside","CGI & 3D Ads","Senior Visualizer & 3D Lead","","Blender, After Effects, Substance Painter","3D CGI, Commercial","","Video / Motion"
"proj-32","F1 CGI","Westside","CGI & 3D Ads","Senior Visualizer & 3D Lead","","Blender, After Effects, Substance Painter","3D CGI, Commercial","","Video / Motion"
"proj-33","Mother s Day","Westside","CGI & 3D Ads","Senior Visualizer & 3D Lead","","Blender, After Effects, Substance Painter","3D CGI, Commercial","","Video / Motion"
"proj-34","Vinyl","Westside","CGI & 3D Ads","Senior Visualizer & 3D Lead","Gold Winner at the ACEF Asian Leadership Awards 2026 for Best in Creativity in Social Media. Crafted high-velocity 3D fashion CGI advertising for Westside.","Blender, After Effects, Substance Painter","3D CGI, Commercial, Award Winner","GOLD WINNER - ACEF Asian Leadership Awards 2026 (Best in Creativity)","Video / Motion"
"proj-36","Xeno-CGi","Xeno","Product & CGI","Senior Visualizer & 3D Lead","","Blender, After Effects, Substance Painter","Commercial CGI, Product","","Video / Motion"
"proj-75","OIAI – AREL Cinematic Push-In","OIAI","Product & CGI","Senior Visualizer & 3D Lead","Cinematic push-in camera move over high-detail 3D environment.","Blender, After Effects","OIAI Campaign, Camera Move, Cinematic CGI","","Video / Motion"
"proj-76","OIAI – Dhamani Push-In","OIAI","Product & CGI","Senior Visualizer & 3D Lead","High-precision 3D architectural push-in visual for Dhamani.","Blender, After Effects, Substance Painter","OIAI Campaign, Architecture CGI, Lookdev","","Video / Motion"
"proj-81","OIAI – WEgoFin Tech Transformation","OIAI","Product & CGI","Senior Visualizer & 3D Lead","Cinematic 3D transformation and product lookdev animation for OIAI WEgoFin.","Blender, After Effects, Substance Painter","OIAI Campaign, Tech CGI, Transformation","","Video / Motion"
"proj-40","Personal CGI R&D 01","Personal Project","Product & CGI","3D Lookdev Artist","Experimental procedural shading and CGI lighting exploration.","Blender, After Effects","CGI R&D, Procedural Shading, Personal Project","","Video / Motion"
"proj-41","Ancient Library","Personal Project","Product & CGI","Concept Artist & 3D Environment Lead","Photorealistic 3D ancient library environment exploration and upscale render. Includes full Behind-the-Scenes / Making Of video breakdown.","Blender, After Effects, Substance Painter","Environment CGI, Personal R&D, 3D Architecture, BTS Breakdown","","Video / Motion"
"proj-42","Ball & Strings Physics Simulation","Personal Project","Motion & Reels","3D Motion & Physics Artist","Dynamic cloth collision and string physics simulation in Blender.","Blender, After Effects","Rigid Body, Cloth & Dynamics, Physics Sim","","Video / Motion"
"proj-43","Volks Beetle Hard-Surface CGI","Personal Project","Product & CGI","3D Automotive Generalist","Detailed Volkswagen Beetle hard-surface modeling, metallic lacquer paint shading, and studio lighting setup.","Blender, Substance Painter, After Effects","Hard-Surface, Automotive CGI, Studio Lighting","","Video / Motion"
"proj-44","Apo8 Bottle Render","Personal Project","Product & CGI","3D Lookdev Artist","Procedural glass shading and liquid lookdev render for Apo8 bottle design.","Blender, After Effects, Substance Painter","Product Lookdev, Personal R&D, Glass Shading","","Video / Motion"
"proj-45","Sci-Fi Starship Concept","Personal Project","Product & CGI","3D Vehicle & Hard-Surface Artist","Conceptual sci-fi starship hard-surface modeling with panel detailing and thruster volumetric glow.","Blender, Substance Painter, After Effects","Sci-Fi Vehicle, Hard-Surface Modeling, Lookdev","","Video / Motion"
"proj-46","Focal View Lens Study","Personal Project","Motion & Reels","3D Visualizer & Cinematographer","Cinematographic study on focal lengths, depth-of-field rack focusing, and lens distortion.","Blender, After Effects","Camera Lens Study, Cinematography, Depth of Field","","Video / Motion"
"proj-47","Mechanical Keyboard CGI","Personal Project","Product & CGI","Product Visualizer & 3D Lead","High-detail mechanical keyboard CAD render with RGB keycap illumination and tactile actuation motion.","Blender, Substance Painter, After Effects","Commercial Product, Mechanical CGI, Keycap Lighting","","Video / Motion"
"proj-48","Point Cloud Shading & Render","Personal Project","Motion & Reels","3D VFX & Motion Artist","Experimental point cloud particle generation and volumetric shading render.","Blender, After Effects","Point Cloud, Procedural VFX, Abstract CGI","","Video / Motion"
"proj-49","Procedural Shader Lookdev","Personal Project","Product & CGI","3D Shader Artist","Node-based procedural material lookdev and Cycles X global illumination render.","Blender, Cycles X","Cycles X, Node Shading, Lighting","","Video / Motion"
"proj-50","Spheres Procedural Motion","Personal Project","Motion & Reels","3D Motion Designer","Geometry Nodes driven procedural sphere motion design and iridescent material shading.","Blender, After Effects","GeoNodes, Procedural Animation, Abstract","","Video / Motion"
"proj-51","Compositing & Lighting Study","Personal Project","Motion & Reels","VFX Compositor & 3D Generalist","Multi-pass EXR compositing, chromatic grading, and post-processing lighting pipeline.","After Effects, Blender","Compositing, EXR Multi-pass, VFX","","Video / Motion"
"proj-52","Vintage Retro Camera Lookdev","Personal Project","Product & CGI","3D Generalist & Texture Artist","Photorealistic vintage analog camera render with aged leather texture maps and brass wear.","Blender, Substance Painter, After Effects","Vintage CGI, Leather & Brass PBR, Retro Aesthetics","","Video / Motion"
"proj-53","Matchmove – Desert Vehicle","Personal R&D","Motion & Reels","3D Matchmove & Compositing Specialist","Precision SynthEyes camera tracking solve and live-action matchmove for Desert Vehicle.","SynthEyes, Blender, After Effects","SynthEyes, 3D Camera Tracking, Live Action Matchmove","","Video / Motion"
"proj-54","Matchmove – Factory Refined","Personal R&D","Motion & Reels","3D Matchmove & Compositing Specialist","Precision SynthEyes camera tracking solve and live-action matchmove for Factory Refined.","SynthEyes, Blender, After Effects","SynthEyes, 3D Camera Tracking, Live Action Matchmove","","Video / Motion"
"proj-55","Matchmove – Moving Car","Personal R&D","Motion & Reels","3D Matchmove & Compositing Specialist","Precision SynthEyes camera tracking solve and live-action matchmove for Moving Car.","SynthEyes, Blender, After Effects","SynthEyes, 3D Camera Tracking, Live Action Matchmove","","Video / Motion"
"proj-56","Matchmove – Object Solve","Personal R&D","Motion & Reels","3D Matchmove & Compositing Specialist","Precision SynthEyes camera tracking solve and live-action matchmove for Object Solve.","SynthEyes, Blender, After Effects","SynthEyes, 3D Camera Tracking, Live Action Matchmove","","Video / Motion"
"proj-57","Matchmove – Sidewalk","Personal R&D","Motion & Reels","3D Matchmove & Compositing Specialist","Precision SynthEyes camera tracking solve and live-action matchmove for Sidewalk.","SynthEyes, Blender, After Effects","SynthEyes, 3D Camera Tracking, Live Action Matchmove","","Video / Motion"
"proj-58","Matchmove – StreetWalk","Personal R&D","Motion & Reels","3D Matchmove & Compositing Specialist","Precision SynthEyes camera tracking solve and live-action matchmove for StreetWalk.","SynthEyes, Blender, After Effects","SynthEyes, 3D Camera Tracking, Live Action Matchmove","","Video / Motion"
"proj-59","Matchmove – Handheld Object Track","Personal R&D","Motion & Reels","3D Matchmove & Camera Solve Specialist","Supervised SynthEyes 3D object tracking solve on complex handheld camera motion.","SynthEyes, Blender, After Effects","SynthEyes, Handheld Tracking, Object Matchmove","","Video / Motion"
"proj-60","Alienate Character Sculpt","Personal Artwork","3D Stills & Art","Character Sculptor & Lookdev Artist","High-density digital character sculpt with custom skin detail maps and anatomical precision.","ZBrush, Blender, Substance Painter","ZBrush, Character CGI, Digital Sculpting","","Still Image"
"proj-61","Alienate Sci-Fi Environment","Personal Artwork","3D Stills & Art","3D Environment Artist & Lighting Lead","Atmospheric alien planet environment render featuring volumetric fog and alien flora.","Blender, Photoshop, After Effects","Environment CGI, Atmospheric Lookdev, Sci-Fi World","","Still Image"
"proj-62","Luxe Cosmetics Product Render","Personal Artwork","3D Stills & Art","Product Visualizer & 3D Lead","High-end cosmetics glass bottle render with caustic transmission and studio lighting.","Blender, Substance Painter, Photoshop","Product CGI, Glass Shading, Cosmetics","","Still Image"
"proj-66","Cyber Peripheral Concept","Personal Artwork","3D Stills & Art","Concept Designer & 3D Artist","Futuristic computer peripheral hardware design with custom ergonomic curves and PBR rubber grips.","Blender, Substance Painter, Photoshop","Tech Product, Hard-Surface, CAD Render","","Still Image"
"proj-67","Golden Cyber Robot","Personal Artwork","3D Stills & Art","3D Hard-Surface & Texture Lead","High-polish gold specular robot model with custom joint mechanics and studio light setup.","Blender, ZBrush, Substance Painter","Gold Metallic PBR, Robot CGI, Cyberpunk","","Still Image"
"proj-68","Lotus Organic 3D Art","Personal Artwork","3D Stills & Art","3D Lookdev & Foliage Artist","Procedural sub-surface scattering render of lotus petals with realistic water droplet condensation.","Blender, Photoshop","Organic CGI, Procedural Foliage, Nature Lookdev","","Still Image"
"proj-69","Commercial Product CGI","Personal Artwork","3D Stills & Art","Senior Visualizer & 3D Lead","Clean commercial product studio render with dynamic rim lighting and reflections.","Blender, Substance Painter, After Effects","Product Render, FMCG CGI, Studio Lighting","","Still Image"
"proj-70","RobotMan Mech Character","Personal Artwork","3D Stills & Art","3D Character & Mech Artist","Full-body mechanical character design and CGI lookdev. Includes full process timelapse breakdown video.","ZBrush, Blender, Substance Painter","Mech Character, ZBrush Sculpting, BTS Breakdown","","Still Image"
"proj-71","Sci-Fi Environment Asset","Personal Artwork","3D Stills & Art","3D Asset Artist","Modular sci-fi environment asset modeling with panel lines and weathered paint shader.","Blender, Substance Painter","Sci-Fi Asset, Hard-Surface, Modular CGI","","Still Image"
"proj-72","Sci-Fi Mech Unit","Personal Artwork","3D Stills & Art","3D Mech Specialist","Armored sci-fi battle robot design with wear-and-tear edge damage textures.","Blender, Substance Painter, After Effects","Mech Unit, Hard-Surface Modeling, PBR Materials","","Still Image"
"proj-73","Tribal Character Maquette","Personal Artwork","3D Stills & Art","Digital Sculptor & Character Artist","Character maquette sculpt exploring tribal ornamentations, headgear geometry, and anatomical form.","ZBrush, Blender, Photoshop","ZBrush, Character Sculpt, Anatomy Study","","Still Image"
"proj-74","OIAI – AREL Ganpati Campaign","OIAI","Product & CGI","Senior Visualizer & 3D Lead","Festive 3D CGI campaign motion graphics for OIAI AREL Ganpati.","Blender, After Effects, Substance Painter","OIAI Campaign, 3D Motion, Festival CGI","","Video / Motion"
"proj-78","OIAI – TMPL Cabinet Interior CGI","OIAI","Product & CGI","Senior Visualizer & 3D Lead","3D cabinet product lookdev and interior lighting design for TMPL.","Blender, After Effects","OIAI Campaign, Product CGI, Interior Lighting","","Video / Motion"
"proj-79","OIAI – TMPL Meeting Room Visualization","OIAI","Product & CGI","Senior Visualizer & 3D Lead","Commercial 3D meeting room spatial visualization.","Blender, After Effects","OIAI Campaign, 3D Architecture, Lighting","","Video / Motion"
"proj-80","OIAI – TMPL Spatial Push-In","OIAI","Product & CGI","Senior Visualizer & 3D Lead","Spatial camera sweep and push-in render for TMPL.","Blender, After Effects","OIAI Campaign, 3D Motion, Cinematic","","Video / Motion"
"proj-camera-angles","Camera Studio Angles — Multi-Angle Study","Personal Artwork","3D Stills & Art","3D Product Generalist","Multi-angle studio visualization of custom 3D camera CAD model. Includes 3 high-detail renders covering macro lens reflections, aluminum chassis texture passes, and rack focus depth-of-field.","Blender, Substance Painter, Photoshop","Multi-Angle Study, Studio Lighting, Hard-Surface, 3D Camera CAD","","Still Image"
"still-1","Manga Cyberpunk Lookdev","Concept Work","3D Stills & Art","3D Sculpting, Shading & Lookdev","High-detail 3D character sculpt with custom hard-surface geometry and manga-stylized shaders.","ZBrush, Blender, Substance Painter, Photoshop","ZBrush, Blender, Character CGI, Concept Art","","Still Image"
"still-2","Cult Sci-Fi Render","Personal Exploration","3D Stills & Art","Environment Artist & Lighting Specialist","Atmospheric sci-fi environment exploration emphasizing volumetric lighting and cinematic scale.","Blender, After Effects, Photoshop","3D Lighting, Atmospheric Lookdev, Environment","","Still Image"
"still-3","Comic Darkwing Technique","Illustration & 3D","3D Stills & Art","Non-Photorealistic 3D Rendering & Compositing","Experimental non-photorealistic comic book shading and dynamic action posing.","Blender Cycles, Photoshop, Illustrator","NPR Shading, Comics, Graphic Art","","Still Image"
"still-4","Thirds Spatial Composition","Visualizer Study","3D Stills & Art","Senior Visualizer & Art Director","Cinematographic study on camera focal lengths, rule of thirds, and commercial color grading.","Blender, After Effects, Photoshop","Rule of Thirds, CGI Framing, Editorial","","Still Image"
